ID_ARCs_Master	From_ID_Master_Node	To_ID_Master_Node	Infra_From	Infra_To	Power_Capacity	Definition
1027	3014	5698	Power	TER	1000	CF_Dist_Line
1028	3014	5559	Power	TER	1000	CF_Dist_Line
1029	3014	5730	Power	TER	1000	CF_Dist_Line
1030	3005	5672	Power	TER	1000	CF_Dist_Line
1031	3009	5588	Power	TER	1000	CF_Dist_Line
1032	3009	5558	Power	TER	1000	CF_Dist_Line
1033	2511	5574	Power	TER	1000	CF_Dist_Line
1034	2511	5741	Power	TER	1000	CF_Dist_Line
1035	2511	5695	Power	TER	1000	CF_Dist_Line
1036	2511	5675	Power	TER	1000	CF_Dist_Line
1037	2511	5725	Power	TER	1000	CF_Dist_Line
1038	3011	5573	Power	TER	1000	CF_Dist_Line
1039	3011	5708	Power	TER	1000	CF_Dist_Line
1040	3011	5694	Power	TER	1000	CF_Dist_Line
1041	3011	5685	Power	TER	1000	CF_Dist_Line
1042	3011	5543	Power	TER	1000	CF_Dist_Line
1043	3011	5561	Power	TER	1000	CF_Dist_Line
1044	3011	5709	Power	TER	1000	CF_Dist_Line
1045	3011	5569	Power	TER	1000	CF_Dist_Line
1046	3011	5707	Power	TER	1000	CF_Dist_Line
1047	3011	5584	Power	TER	1000	CF_Dist_Line
1048	3005	5589	Power	TER	1000	CF_Dist_Line
1049	3005	5592	Power	TER	1000	CF_Dist_Line
1050	3006	5747	Power	TER	1000	CF_Dist_Line
1051	3006	5544	Power	TER	1000	CF_Dist_Line
1052	3006	5673	Power	TER	1000	CF_Dist_Line
1053	3006	5723	Power	TER	1000	CF_Dist_Line
1054	3006	5586	Power	TER	1000	CF_Dist_Line
1055	3006	5703	Power	TER	1000	CF_Dist_Line
1056	3006	5746	Power	TER	1000	CF_Dist_Line
1057	3005	5545	Power	TER	1000	CF_Dist_Line
1058	3005	5604	Power	TER	1000	CF_Dist_Line
1059	3005	5674	Power	TER	1000	CF_Dist_Line
1060	3005	5722	Power	TER	1000	CF_Dist_Line
1061	3005	5691	Power	TER	1000	CF_Dist_Line
1062	3005	5745	Power	TER	1000	CF_Dist_Line
1063	3008	5717	Power	TER	1000	CF_Dist_Line
1064	3008	5602	Power	TER	1000	CF_Dist_Line
1065	3005	5690	Power	TER	1000	CF_Dist_Line
1066	3005	5683	Power	TER	1000	CF_Dist_Line
1067	3005	5702	Power	TER	1000	CF_Dist_Line
1068	3006	5605	Power	TER	1000	CF_Dist_Line
1069	3006	5595	Power	TER	1000	CF_Dist_Line
1070	3008	5577	Power	TER	1000	CF_Dist_Line
1071	3008	5603	Power	TER	1000	CF_Dist_Line
1072	3008	5733	Power	TER	1000	CF_Dist_Line
1073	3008	5768	Power	TER	1000	CF_Dist_Line
1074	3005	5601	Power	TER	1000	CF_Dist_Line
1075	3001	5670	Power	TER	1000	CF_Dist_Line
786	2506	4503	Power	Comm	1000	CF_Dist_Line
787	2502	4504	Power	Comm	1000	CF_Dist_Line
788	2502	4010	Power	Comm	1000	CF_Dist_Line
789	2510	4505	Power	Comm	1000	CF_Dist_Line
790	2510	4003	Power	Comm	1000	CF_Dist_Line
791	2510	4506	Power	Comm	1000	CF_Dist_Line
792	2509	4507	Power	Comm	1000	CF_Dist_Line
707	3008	4518	Power	Comm	1000	CF_Dist_Line
793	3005	4004	Power	Comm	1000	CF_Dist_Line
794	3006	4508	Power	Comm	1000	CF_Dist_Line
795	3014	4006	Power	Comm	1000	CF_Dist_Line
796	3014	4513	Power	Comm	1000	CF_Dist_Line
797	2513	4511	Power	Comm	1000	CF_Dist_Line
798	3010	4512	Power	Comm	1000	CF_Dist_Line
799	3011	4509	Power	Comm	1000	CF_Dist_Line
800	2501	4502	Power	Comm	1000	CF_Dist_Line
801	2501	4001	Power	Comm	1000	CF_Dist_Line
802	2501	4501	Power	Comm	1000	CF_Dist_Line
803	3013	4519	Power	Comm	1000	CF_Dist_Line
804	3013	4002	Power	Comm	1000	CF_Dist_Line
805	2511	4005	Power	Comm	1000	CF_Dist_Line
806	2511	4510	Power	Comm	1000	CF_Dist_Line
807	2504	4517	Power	Comm	1000	CF_Dist_Line
808	2504	4009	Power	Comm	1000	CF_Dist_Line
809	2507	4008	Power	Comm	1000	CF_Dist_Line
810	2507	4516	Power	Comm	1000	CF_Dist_Line
811	3015	4515	Power	Comm	1000	CF_Dist_Line
812	3015	4007	Power	Comm	1000	CF_Dist_Line
813	2512	4514	Power	Comm	1000	CF_Dist_Line
1481	2507	8061	Power	Water	1000	CF_Dist_Line
