ID_Master_Node	Definition	Infras_Type	Power_Use	Node_Type	MinGX	MinGY		
5627	Police_Station	TER	50	0	33807790	25148892		
5628	Police_Station	TER	50	0	33271420	24624931		
5629	Police_Station	TER	50	0	33172658	24794859		
5630	Police_Station	TER	50	0	34201305	24829713		
5631	Police_Station	TER	50	0	34071817	24935733		
5632	Police_Station	TER	50	0	34268058	25088334		
5633	Police_Station	TER	50	0	34132212	24378843		
5634	Police_Station	TER	50	0	33456803	24431029		
5635	Police_Station	TER	50	0	33780831	25309130		
5636	Police_Station	TER	50	0	35300684	25205140		
5637	Police_Station	TER	50	0	34462438	25201385		
5638	Police_Station	TER	50	0	33541339	24657921		
5639	Police_Station	TER	50	0	33048867	24967553		
5640	Police_Station	TER	50	0	34214449	25265356		
5641	College	TER	125	2	33978888	24812237		
5642	Nursing_Home	TER	50	2	33150697	24874805		
5643	Nursing_Home	TER	50	2	33206231	24583659		
5644	Nursing_Home	TER	50	2	33422147	25247016		
5645	Nursing_Home	TER	50	2	33578732	25346219		
5646	Nursing_Home	TER	50	2	33641627	24874912		
5647	Nursing_Home	TER	50	2	33434420	24617466		
5648	Nursing_Home	TER	50	2	33376231	24451366		
5649	Nursing_Home	TER	50	2	33722901	25223413		
5650	Nursing_Home	TER	50	2	33944372	25146671		
5651	Nursing_Home	TER	50	2	33815355	24850068		
5652	Nursing_Home	TER	50	2	33962813	24646555		
5653	Nursing_Home	TER	50	2	34053160	24822488		
5654	Nursing_Home	TER	50	2	34071325	25115053		
5655	Nursing_Home	TER	50	2	34216362	25335567		
5656	Nursing_Home	TER	50	2	34268845	24988978		
5657	Nursing_Home	TER	50	2	34247863	24699895		
5658	Nursing_Home	TER	50	2	34528677	24963452		
5659	Nursing_Home	TER	50	2	34382190	25148306		
5660	Nursing_Home	TER	50	2	34812016	25334584		
5661	Nursing_Home	TER	50	2	34782478	25096344		
5662	Nursing_Home	TER	50	2	35392087	25322838		
5663	Nursing_Home	TER	50	2	35281683	25170562		
5664	Nursing_Home	TER	50	2	35175471	25328529		
5665	Nursing_Home	TER	50	2	35416327	25114414		
5666	Nursing_Home	TER	50	2	35382782	25008572		
5667	Shelter	TER	75	2	33345267	24416109		
5668	Shelter	TER	75	2	33094592	24801034		
5669	Shelter	TER	75	2	33321361	25181190		
5670	Shelter	TER	75	2	33620331	24740740		
5671	Shelter	TER	75	2	33956985	25361446		
5672	Shelter	TER	75	2	34046254	24998974		
5673	Shelter	TER	75	2	33941342	24873612		
5674	Shelter	TER	75	2	33996483	24918039		
5675	Shelter	TER	75	2	34128720	24617698		
5676	Shelter	TER	75	2	34898831	25359462		
5677	Shelter	TER	75	2	35405768	25180007		
5678	Shelter	TER	75	2	35308923	24848049		
5679	Shelter	TER	75	2	34715134	25069261		
5680	Shelter	TER	75	2	34425942	25310052		
5681	Shelter	TER	75	2	34534270	24886422		
5682	School	TER	100	2	33129209	24382454		
5683	School	TER	100	2	33956206	24989856		
5684	School	TER	100	2	35063589	25323803		
5685	School	TER	100	2	34020832	24591652		
5686	School	TER	100	2	33604973	25226335		
5687	School	TER	100	2	34206663	25102537		
5688	School	TER	100	2	33103758	24349145		
5689	School	TER	100	2	33177844	24367809		
5690	School	TER	100	2	33959750	25005103		
5691	School	TER	100	2	33955019	24950543		
5692	School	TER	100	2	35105838	25275189		
5693	School	TER	100	2	35028560	25355116		
5694	School	TER	100	2	34005636	24654014		
5695	School	TER	100	2	34144316	24639904		
5696	School	TER	100	2	33558817	25195544		
5697	School	TER	100	2	33665379	25243130		
5698	School	TER	100	2	34270229	25033379		
5699	School	TER	100	2	34319627	25141588		
5700	School	TER	100	2	33201386	24393926		
5701	School	TER	100	2	33215818	24431512		
5702	School	TER	100	2	33937510	24961079		
5703	School	TER	100	2	33958694	24922858		
5704	School	TER	100	2	34910233	25281413		
5705	School	TER	100	2	35160820	25217144		
5706	School	TER	100	2	34980060	25187869		
5707	School	TER	100	2	33891868	24718779		
5708	School	TER	100	2	34053152	24717996		
5709	School	TER	100	2	33963306	24780514		
5710	School	TER	100	2	33506319	25108585		
5711	School	TER	100	2	33735014	25309545		
5712	School	TER	100	2	33481549	25299892		
5713	School	TER	100	2	34457313	25099139		
5714	School	TER	100	2	34100521	25245160		
5715	School	TER	100	2	34342825	25235509		
5716	School	TER	100	2	33148530	24423435		
5717	School	TER	100	2	33950743	25029581		
5718	School	TER	100	2	35247235	25293772		
5719	School	TER	100	2	33612013	25047839		
5720	Child_Residential_Facility	TER	75	2	33407216	24454453		
5721	Child_Residential_Facility	TER	75	2	33430422	25063300		
5722	Child_Residential_Facility	TER	75	2	33977468	24956613		
5723	Child_Residential_Facility	TER	75	2	33900924	24865524		
5724	Child_Residential_Facility	TER	75	2	34996861	25226480		
5725	Child_Residential_Facility	TER	75	2	34105296	24686422		
5726	Child_Residential_Facility	TER	75	2	35306810	24885063		
5727	Child_Residential_Facility	TER	75	2	35374801	25135921		
5728	Child_Residential_Facility	TER	75	2	35130068	25321170		
5729	Child_Residential_Facility	TER	75	2	33275811	24791476		
5730	Child_Residential_Facility	TER	75	2	34109223	25082434		
5731	Child_Residential_Facility	TER	75	2	34577946	25073964		
5732	Child_Residential_Facility	TER	75	2	33580918	24682552		
5733	EMS_Station	TER	75	0	33931226	24994780		
5734	EMS_Station	TER	75	0	35313894	24973452		
5735	EMS_Station	TER	75	0	34809075	25237518		
5736	EMS_Station	TER	75	0	34444605	25072289		
5737	EMS_Station	TER	75	0	33438071	25219289		
5738	EMS_Station	TER	75	0	33700986	25073462		
5739	EMS_Station	TER	75	0	33296082	24736059		
5740	EMS_Station	TER	75	0	34160936	24379479		
5741	EMS_Station	TER	75	0	34175582	24635073		
5742	EMS_Station	TER	75	0	34338182	24874924		
5743	EMS_Station	TER	75	0	33232441	25033528		
5744	EMS_Station	TER	75	0	33188194	25158798		
5745	EMS_Station	TER	75	0	33956437	24981960		
5746	EMS_Station	TER	75	0	33907499	24944886		
5747	EMS_Station	TER	75	0	33891126	24831326		
5748	EMS_Station	TER	75	0	33138359	24349899		
5749	EMS_Station	TER	75	0	35369727	25212824		
5750	EMS_Station	TER	75	0	35347005	24932502		
5751	EMS_Station	TER	75	0	35256517	24868467		
5752	EMS_Station	TER	75	0	34931229	25253926		
5753	Emergency_Communication_Center	TER	75	2	34731478	24942522		
5754	Emergency_Communication_Center	TER	75	2	34486484	24720407		
5755	Emergency_Communication_Center	TER	75	2	33082923	25050833		
5756	Emergency_Communication_Center	TER	75	2	33574947	24484458		
5757	Emergency_Communication_Center	TER	75	2	34033010	25333203		
5758	Emergency_Communication_Center	TER	75	2	35283272	25068023		
5759	Industry	TER	500	2	34626022	25216914		
5760	Industry	TER	500	2	34762476	25382608		
5761	Industry	TER	500	2	34678051	25172078		
5762	Industry	TER	500	2	34560483	25280236		
5763	Industry	TER	500	2	34494009	25155416		
5764	Industry	TER	300	2	33989018	25300916		
5765	Industry	TER	300	2	33714656	24920087		
